loan_id,account_id,date,amount,duration,payments,status,account_id,district_id,frequency,date,district_id,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
4959,2,1994-01-05,80952,24,3373.0,A,2,1,POPLATEK MESICNE,1993-02-26,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
4961,19,1996-04-29,30276,12,2523.0,B,19,21,POPLATEK MESICNE,1995-04-07,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354
4962,25,1997-12-08,30276,12,2523.0,A,25,68,POPLATEK MESICNE,1996-07-28,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887
4967,37,1998-10-14,318480,60,5308.0,D,37,20,POPLATEK MESICNE,1997-08-18,20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.6,3.64,120,1563.0,1542
4968,38,1998-04-19,110736,48,2307.0,C,38,19,POPLATEK TYDNE,1997-08-08,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099
4973,67,1996-05-02,165960,24,6915.0,A,67,16,POPLATEK MESICNE,1994-10-19,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913
4986,97,1997-08-10,102876,12,8573.0,A,97,74,POPLATEK MESICNE,1996-05-05,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347
4988,103,1997-12-06,265320,36,7370.0,D,103,44,POPLATEK MESICNE,1996-03-10,44,Chrudim,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.7,3.76,97,2166.0,2325
4989,105,1998-12-05,352704,48,7348.0,C,105,21,POPLATEK MESICNE,1997-07-10,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354
4990,110,1997-09-08,162576,36,4516.0,C,110,36,POPLATEK MESICNE,1996-07-17,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132
